retrieved_at,prefecture,agency,case_type,title,announcement_date,url,source
2026-05-15 19:05:14,岐阜県,岐阜県岐阜市,物品,5月15日 物品 電子黒板機能搭載プロジェクター等機器 一式,2026-05-15,https://www.city.gifu.lg.jp/_res/projects/default_project/_page_/001/039/684/r8.5.15/koukoku_denshikokuban_r8.pdf,官公需情報ポータルAPI（対象5県）
2026-05-15 19:05:14,全国,法務省宇都宮地方法務局,役務,令和８年度宇都宮法務総合庁舎等健康診断（一般定期健康診断等）委託業務 一式,2026-05-15,https://houmukyoku.moj.go.jp/utsunomiya/content/001462382.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:13,全国,法務省千葉地方法務局,役務,令和８年度乗用自動車（１台）交換契約,2026-05-15,https://houmukyoku.moj.go.jp/chiba/content/001462575.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:12,全国,国家公安委員会（警察庁）関東管区警察局,役務,通信施設清掃点検作業,2026-05-15,https://www.kanto.npa.go.jp/choutatsu/ippan/nyusatsu/n-ibaraki-20260515-0604.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:11,全国,法務省横浜地方法務局,その他,防災・まちづくり型法務局地図作成事業一式,2026-05-15,https://houmukyoku.moj.go.jp/yokohama/content/001462354.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:10,全国,法務省盛岡地方法務局,その他,令和８年度・令和９年度防災・まちづくり型法務局地図作成事業（北上市大通りほか地区）,2026-05-15,https://houmukyoku.moj.go.jp/morioka/content/001462561.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:09,岐阜県,国立大学法人東海国立大学機構岐阜大学,その他,高解像度手術顕微鏡システム 一式,2026-05-15,https://www.gifu-u.ac.jp/about/financial_affairs/procurement/8827f2211879ae64d9606453da6948a2.pdf,官公需情報ポータルAPI（対象5県）
2026-05-15 19:05:09,全国,法務省盛岡地方法務局,その他,令和８年度・令和９年度被災地域復興型法務局地図作成事業（宮古市松山ほか地区）,2026-05-15,https://houmukyoku.moj.go.jp/morioka/content/001462563.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:09,全国,国家公安委員会（警察庁）山口県警察,物品,交通信号灯器の購入 （PDF：113KB）,2026-05-15,https://www.pref.yamaguchi.lg.jp/uploaded/attachment/240150.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:05:06,全国,国家公安委員会（警察庁）秋田県警察,役務,交通安全施設モバイル回線契約,2026-05-15,https://www.police.pref.akita.lg.jp/uploads/contents/pages_0000000382_00/%E5%85%A5%E6%9C%AD%E5%85%AC%E5%91%8A%EF%BC%8F%E4%BA%A4%E9%80%9A%E5%AE%89%E5%85%A8%E6%96%BD%E8%A8%AD%E3%83%A2%E3%83%90%E3%82%A4%E3%83%AB%E5%9B%9E%E7%B7%9A%E5%A5%91%E7%B4%84.pdf,官公需情報ポータルAPI（全省庁）
2026-05-19 19:05:31,全国,厚生労働省秋田労働局,役務,（令和8年5月14日公告）一般定期健康診断等業務委託契約（単価契約）,2026-05-14,https://jsite.mhlw.go.jp/akita-roudoukyoku/content/contents/002659912.pdf,官公需情報ポータルAPI（全省庁）
2026-05-15 19:09:09,岐阜県,岐阜県海津市,その他,総物第10号,2026-05-14,https://www.city.kaizu.lg.jp/shisei/cmsfiles/contents/0000004/4539/20260514_soubutu10_03koukoku.pdf,官公需情報ポータルAPI（対象5県）
2026-05-15 19:05:08,全国,厚生労働省関西空港検疫所,物品,病原菌自動検出システム賃貸借,2026-05-14,https://www.forth.go.jp/keneki/kanku/soumu/20260514_nyusatu_01.pdf,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:39,全国,防衛省,その他,船舶の産業廃棄,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:39,全国,防衛省,役務,樹木撫育作業役務,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:39,全国,内閣府,委託,令和８年度原子力総合防災訓練コントローラ等訓練支援業務,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:39,全国,経済産業省,委託,【本省】令和８年度ＧＸ需要創出・カーボンプライシング運営事業（ＧＸ製品・サービスの需要創出に向けた課題及び政策手法等に関する調査）,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,新潟県,国土交通省,役務,令和８年度SNS防災情報収集作業,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（対象5県）
2026-05-14 19:35:38,新潟県,国土交通省,委託,令和8年度三国川ダム防災等広報ラジオ放送業務,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（対象5県）
2026-05-14 19:35:38,全国,防衛省,役務,Ｃ３棟フロア移設に伴う分電盤改修及び電源回路配線役務,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,農林水産省,役務,霊仙寺山国有林外 森林環境保全整備事業 北信１,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,厚生労働省,その他,雇用保険関係しおり・リーフレットの作製（令和８年８月使用分）,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,金融庁,物品,金融六法（令和８年版）の購入,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,財務省,委託,輸出入申告データと他国の取引レベルの貿易データ等との接合手法に関する委託研究,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,宮内庁,物品,稗の購入,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,財務省,委託,省庁別財務書類の作成基準に基づく令和７年度財務省省庁別財務書類等作成支援等業務,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,厚生労働省,物品,病原菌自動検出システム賃貸借,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,財務省,その他,特色ある沖縄県内誘致催事等を活用した泡盛の認知度向上施策,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
2026-05-14 19:35:38,全国,消費者庁,委託,消費者志向経営優良事例表彰事業の運営に係る業務,2026-05-14,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,官公需情報ポータルAPI（全省庁）
